MV Material Name,AusGeochem Material Name
Hypersthene Dacite,Dacite
Humicite,Bitumen-rock
Fossiliferous Clay,Claystone
Hornblende-diopside,Rock of restricted mineralogy
Meta-dolerite,Dolerite
Heavy minerals,NA
Slate Concretion,Slate
Phosphatic Rock,Rock of restricted mineralogy
Gossanous iron oxides,Gossan
BasaltTuff,Basalt
Gley,Regolith
Heterolithic Breccia,Breccia
Glass (frothed),NA
Siliceous Ores,Ore
Feldspar Porphyrite,Porphyry
Glaciated boulder,Boulders
Baritic ore,Ore
Ferruginous Sandstone,Sandstone
Microstromatolitic Limestone,Limestone
Corundum rock,Rock of restricted mineralogy
Quartzo-Feldspathic dyke,Felsite
Glacial Till,Tillite
Manganese nodule,Concretion
Jeppe Shale,Shale
Glacial Boulder,Boulders
Copper-bismuth ore,Ore
Gem Gravel,Gravel
Bituminous Coal,Coal
Secondary zinc ore,Ore
Pyritic mica schist,Schist
Amphibole Diorite,Diorite
Bornite Ore,Ore
Nepheline Sodalite Syenite Pegmatite,Pegmatite
Felsitic Porphyry,Porphyry
Gault,Clay
Gangue,NA
Galena sphalerite,Rock of restricted mineralogy
Concretions in hematite,Concretion
Septarian Concretion,Concretion
Phosphate Nodule,Concretion
pyrite-arsenopyrite ore,Ore
Fossil Resin,Ambrite
Ferruginous Siltstone,Siltstone
Black slate with siliceous bands,Slate
Garnet Muscovite Biotite Feldspar Gneiss,Gneiss
Chalcopyrite-magnetite ore,Ore
Banket Ore,Ore
Pyrite Sphalerite Chalcopyrite Galena ore,Ore
Silica Rock,Rock of restricted mineralogy
Mineralised Quartzite,Quartzite
Primary Ore vein,Ore
Hydrothermically altered pyrite ore,Ore
Banded Pyritic Basic Tuff,Tuff
Ferruginous Quartz Gravel,Gravel
Galena in quartz conglomerate,Conglomerate
Ferruginous Gravel,Gravel
Felsic Metavolcanic,Metafelsite
Ejecta layer,Impactite
Chloritic Crystal Tuff,Tuff
Gypsum Rock,Rock of restricted mineralogy
Pyritic Aplite,Aplite
Mica Quartzite,Quartzite
Dysodile,NA
Porphyritic Adamellite,Adamellite
Graphite Ore,Ore
Dolomitic Oolite,Oolite
Siliceous nodule in slate,Slate
PhonoliticTephrite,Tephrite
Auriferous Conglomerate,Conglomerate
Auriferous Schist,Schist
Copper Ore (high grade),Ore
Distillate,NA
Impact-Shocked Sandstone,Sandstone
Monzonite Porphyry,Monzonite
Nickel-copper ore,Ore
Creosote Oil,NA
vivianite nodule,Concretion
Arkosic Conglomerate,Conglomerate
Coquina,Limestone
Sillimanite Garnet Biotite Gneiss,Gneiss
Copper Matte,NA
Barite Rock,Rock of restricted mineralogy
Ferruginous Limestone,Limestone
Hematite-quartz rock,Rock of restricted mineralogy
Concentrate,NA
Coke Residue,NA
Coke,NA
Cinders,NA
Trachytic agglomerate,Trachyte
Dacitic Tuff,Dacite
Copper-gold ore,Ore
Copper-Nickel-Cobalt Ore,Ore
Secondary copper ore,Ore
"Cassiterite, Alluvial",Gravel
Copper-lead ore,Ore
Cobolt ore,Ore
Merensky Pyroxenite,Pyroxenite
Siltstone Hornfels,Hornfels
Anorthositic gabbro,Gabbro
Phosphatic breccia,Breccia
Kimberlite Breccia,Breccia
Aplite Dyke,Aplite
Calcite-garnet-diopside,Rock of restricted mineralogy
Argentiferous Ore,Ore
Sphalerite rock,Rock of restricted mineralogy
Tachylitic Phonolite,Phonolite
Piedmontite Phengite Schist,Schist
Calcite-fluorite,Rock of restricted mineralogy
Andalusite Mica Schist,Schist
Biotite Amphibolite,Amphibolite
Leucitite Scoria,Leucitite
Quartz Topaz Rock,Rock of restricted mineralogy
Leucitite Tuff,Leucitite
Calcareous tubules,Limestone
Feldspar Quartz Porphyry,Porphyry
Biotite-Pyroxenite Ore,Ore
Crinanite Basalt,Basalt
Boulder,Boulders
Frothy Basalt Lava,Basalt
Amphibole Feldspar Syenite,Syenite
Chloritised granodiorite,Granodiorite
Dacite Porphyry,Dacite
Latite Tuff,Latite
Goethite Concretion,Concretion
Corundum Clinochlore Gneiss,Gneiss
Bitumenous Aphanitic Marble,Marble
Metasedimentary xenolith,Metasedimentary rock
Black Smoker,Ore
Sillimanite Schist,Schist
Bituminous Siltstone,Siltstone
Coal Tar,Coal
Glassy Basalt Lava,Basalt
Chloritoid Schist,Schist
Willemite ore,Ore
Tourmaline-corundum-paragonite-schist,Schist
Basaltic Ash,Basalt
Molybdenum Ore,Ore
Carbonaceous Sandstone,Sandstone
Phosphatic nodule,Phosphorite
Auriferous Meta-Conglomerate,Conglomerate
Country Rock,NA
Granite (Sheared),Granite
Bitumenous Substance,Bitumen
Garnet Amphibole Hornfels,Hornfels
Biotite Vulsinite,Trachyandesite
Garnet Calcite Skarn,Skarn
Andesine Dolerite,Dolerite
Nepheline Sodalite Syenite,Syenite
Vesuvianite Skarn,Skarn
Ferroaxinite Skarn,Skarn
Slickensided Sandstone,Sandstone
Biotite Rhyodacite,Rhyodacite
Clay Fragments,Claystone
Bat Guano,Guano
Chlorite biotite schist (black schist),Schist
Impact Breccia (Zhamanshinite),Breccia
Banded jasperlite,Jaspillite
Titanic Sand,Sand
Banded chert,Chert
Auriferous Stalactite,Biochemical and chemical sedimentary rock
Graphic Pegmatite,Pegmatite
Quartz-Feldspar Dyke,Felsite
Ferroaxinite Tourmaline Skarn,Skarn
Fused Sandstone,Sandstone
"Sphalerite, Quartz, Calcite rock",Rock of restricted mineralogy
Auriferous Siltstone,Siltstone
Gneissose Granite,Gneiss
Garnet Feldspar Quartz Graphite Gneiss,Gneiss
Foraminiferal limestone,Limestone
Borax Ore,Ore
Granite with dyke,Granite
MacKenzie River Granodiorite,Granodiorite
Muscovite Granite,Granite
Skarn Marble Contact,Skarn
Epidote Hornblende Rock,Rock of restricted mineralogy
Auriferous quartz,Rock of restricted mineralogy
Auriferous Low-grade Siltstone,Siltstone
Ankaramitic Basalt,Basalt
Auriferous feldspar,Rock of restricted mineralogy
Auriferous Bismuth Ore,Ore
Halite Rock,Rock of restricted mineralogy
Garnet Biotite Gneiss,Gneiss
Diopside Olivine Leucite Lamproite,Lamproite
Diaspore Fuchsite Corundum Rock,Rock of restricted mineralogy
Diopside Leucite Lamproite,Lamproite
Aurierous pyrite,Rock of restricted mineralogy
Andalusite schist,Schist
Biotite Amphibole Schist,Schist
Biotite Calcite Schist,Schist
Biotite Muscovite Corderite Schist,Schist
Calcite Bustamite Pegmatite,Pegmatite
Dravite Schist,Schist
Epidote Clinochlore Schist,Schist
Epidote Garnet Skarn,Skarn
Feldspathic Sandstone,Sandstone
Ferroan Tephroite Bustamite Calcite Rock,Rock of restricted mineralogy
Garnet Biotite Sillimanite Gneiss,Gneiss
Graphic Garnetiferous Pegmatite,Pegmatite
Grossular Vesuvianite Skarn,Skarn
Hyalophane Celsian Aplite,Aplite
Argentiferous quartz,Rock of restricted mineralogy
Mosandrite Amphibole Gneiss,Gneiss
Olivine Diopside Leucite Lamproite,Lamproite
Olivine Lamproite Lapilli Tuff,Lamproite
Orthoclase Quartz Biotite Gneiss,Gneiss
Phonolite Porphyry,Phonolite
Argentiferous Pyrite,Rock of restricted mineralogy
Pyroxene Andesite,Andesite
Pyroxene Orthoclase Gneiss,Gneiss
Quartz Sandstone,Sandstone
Quartz Sericite Gneiss,Gneiss
Quartzite with  Malachite,Quartzite
Scapolite Pyroxenite Ore,Ore
Shoshonitic Basalt,Basalt
Silicified Jasper Breccia,Breccia
Syenite Breccia,Breccia
Trachy Dolerite,Dolerite
Welded Basalt Tuff,Basalt
Welded Leucitite Tuff,Leucitite
Wollastonite Grossular Skarn,Skarn
Xenolithic Leucite Diopside Lamproite,Lamproite
Axinite Skarn,Skarn
Fluorapatite-fluorite-sulphide ore,Ore
Auriferous Gravels,Gravel
Topazite Dyke,Rock of restricted mineralogy
Quartz veined Pyrite Rhyolite,Rhyolite
Magnetite Muscovite Schist,Schist
Andalusite Slate,Slate
Weathered schist,Schist
Amphibole Chlorite Schist,Schist
Barite Clinochlore Epidote Skarn,Skarn
Talcose Metavolcanic Mudstone,Mudstone
Nosean Phonolite,Phonolite
Porphyritic Diorite,Diorite
Pitch Coal,Coal
Rhyolite Porphyry,Rhyolite
Basaltic Dyke,Basalt
Antimony oxide,Rock of restricted mineralogy
Rhyolite Breccia,Breccia
Marble Breccia,Breccia
Trachyandesite ('macedonite'),Andesite
Numerous Lithologies,NA
Hematite Sericite Schist,Schist
Sanadine Syenite Porphyry,Syenite
Mica Shonkinite,Shonkinite
Quartzose Sericitic Schist,Schist
Trachyte Agglomerate,Trachyte
Alnoite,Lamprophyre
Trachytic Dyke,Trachyte
Anorthoclase Trachyte,Trachyte
Trachytic Pumice,Trachyte
Anorthoclase-Pyroxene Trachyte,Trachyte
Almandine-Spessartine,Garnet Group
Andesine-Labradorite,Plagioclase Group
beta-Fergusonite,β-Fergusonite
Betafite,Pyrochlore Supergroup
Betpakdalite,Betpakdalite Group
Beudantite-Corkite,Beudantite Group
Beudantite-Hidalgoite,Beudantite Group
Beudantite-Segnitite,Beudantite Group
Chabazite-Gmelinite,Zeolite Group
Chalcocite-djurleite,Chalcocite-Digenite Group
Chalcosiderite-Turquoise,Turquoise Group
Cheralite-huttonite,Monazite Group
Corkite-Hinsdalite,Beudantite Group
Dravite-Magnesiofoitite,Tourmaline Group
Dravite-Schorl,Tourmaline Group
Elbaite-Schorl,Tourmaline Group
Erionite-Offretite,Zeolite Group
Fayalite-Forsterite,Olivine Group
Fornacite-Vauquelinite,Fornacite-Vauquelinite Series
Freibergite,Freibergite Subgroup
Genthelvite-Helvine,Helvine Group
Gmelinite-chabazite,Zeolite Group
Gonnardite-Natrolite,Zeolite Group
Gordaite-thérèsemagnanite,Gordaite Group
Halotrichite-Pickeringite,Halotrichite Group
Hatchite-Wallisite,Hatchite-Wallisite Series
Helvine-Genthelvite,Helvine Group
Hidalgoite-Segnitite,Alunite Supergroup
Kintoreite-Segnitite,Alunite Supergroup
Labuntsovite,Labuntsovite Group
Microcline-Orthoclase,Alkali Feldspar
Natrojarosite-Jarosite,Alunite Group
Olenite-Schorl,Tourmaline Group
Orthoclase-Microcline,Alkali Feldspar
Paravauxite-Gordonite,Laueite Group
Philipsbornite-Plumbogummite,Alunite Supergroup
Phillipsite,Phillipsite Subgroup
Planerite-Turquoise,Planerite-Turquoise Series
Pyrobitumen Nodule,Pyrobitumen
Pyrope-Almandine-Spessartine,Garnet Group
Rhodochrosite-Smithsonite,Calcite Group
Rösslerite,Roesslerite
Saponite-nontronite,Smectite Group
Schorl-dravite-uvite,Tourmaline Group
Schorl-Elbaite,Tourmaline Group
Scorodite-Strengite,Variscite Group
Segnitite-beudantite,Beudantite Group
Strengite-Variscite,Variscite Group
Whitmoreite-earlshannonite,Arthurite Group
Yttrobetafite-(Y),Pyrochlore Group
