MV Material Name,AusGeochem Material Name
Garnet Calcite Vesuvianite Skarn,Skarn
Garnet Sillimanite Biotite Gneiss,Gneiss
Biotite Calcite Quartz Schist,Schist
Banded Quartzite- Hematite,Quartzite
Polymitic Gritstone-Conglomerate,Conglomerate
Lead-zinc ore,Ore
Quartz Sericite Schist,Schist
Opal Garnet Skarn,Skarn
Quartz Feldspar Gneiss,Gneiss
Muscovite Feldspar Gneiss,Gneiss
Quartz Arenite,Arenite
Calc-silicate Concretion,Concretion
Andalusite-muscovite schist,Schist
Terra Rossa,Regolith
Garnet Diopside Wollastonite Skarn,Skarn
Kyanite Quartz Schist,Schist
Clay stone,Claystone
Staurolite Biotite Schist,Schist
Vesuvianite Garnet Skarn,Skarn
Garnet Skarn,Skarn
Garnet Staurolite Biotite Muscovite Schist,Schist
Cordierite Biotite Feldspar Gneiss,Gneiss
Clinochlore Amphibole Schist,Schist
Garnet Muscovite Schist,Schist
Clinochlore Tremolite Garnet Schist,Schist
Tar Liquor,NA
Welded Lamproite Agglomerate,Lamproite
Stalagmite,Biochemical and chemical sedimentary rock
Sandstone with watch and chain,Sandstone
Lamproite Tuff,Lamproite
Stalactite,Biochemical and chemical sedimentary rock
Andradite Skarn,Skarn
Quartz Feldspar Biotite Gneiss,Gneiss
Stilpnomelane Quartz Schist,Schist
Sovite,Carbonatite
Muscovite Garnet Schist,Schist
Leucite tephrite,Tephrite
Garnet Staurolite Schist,Schist
Chromium iron ore,Ore
Silver sulphide ore,Ore
Clinochlore Schist,Schist
Marly-Limestone,Limestone
Olivine-Diopside-Leucite Lamproite,Lamproite
Spherulite,Spherulitic Obsidian
Amphibole Feldspar Quartz Gneiss,Gneiss
Weathered Phyllite,Phyllite
Wollastonite Garnet Skarn,Skarn
Calcite-Bustamite-Ferroan Tephroite Rock,Rock of restricted mineralogy
Monticellite Diopside Akermanite skarn,Skarn
Amphibole Epidote Schist,Schist
Pyroxene Olivine Skarn,Skarn
Epidotised  Amphibolite,Amphibolite
Slag (Artificial),NA
Monticellite Skarn,Skarn
Muscovite Biotite Schist,Schist
Quartzose Lapilli Tuff,Lapilli Tuff
Olivine-Diopside-Richterite-Phlogophite-Leucite Lamproite,Lamproite
Feldspar Quartz Biotite Gneiss,Gneiss
Feldspar Muscovite Biotite Gneiss,Gneiss
Siliceous Sediment,Sedimentary rock
Epidote Skarn,Skarn
Barium Feldspar Quartz Gneiss,Gneiss
Quartzose Tuff,Tuff
